c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1cc(ccc1O)c1ccc(O)c(O)c1
C1(CN/C=C/C(=N)/C(=N\CNCCN)/Nc2ccccc2SC)CC1	CSc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CCNCC1	CSc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CCN(CC1)C1
N(/C=C/C=C/NC(=O)CN(C)C)C/C=C/C=C	CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1	CN(C)C(=O)c1ccccccccccccccccccccccccccc
CCC[C@H](N/C(=C/C=C(/C(=C\C=O)/C(F)F)\C)/C)CC	CC[C@@H]1Cc2cc3c(cc(=O)[nH]c3cc2N[C@@H]1CC)C(F)(F)F	CC[C@@H]1[C@H](C)CNc2cc3[nH]c(=O)cc(c3cc12)C(F)(F)F
N(C)C(=O)NC1OC(C(O)C1)CNC(c1ccccc1)(c1ccccc1)c1ccccc1	OC1CC(OC1CNC(c1ccccc1)(c1ccccc1)c1ccccc1)n1ccc(=O)[nH]c1=O	OC(=O)[C@H](CC(=O)OCCC(c1ccccccccccccccccccccccccccccccccccccO)O)O
C(=C\c1cc(cnc1)NC(=N)/C=C\N=C\N/C(=C/C=C/NCCOCC)/C=C)\C=C	COc1cc(Nc2nccc(Nc3cnc4ccccc4c3)n2)ccc1N1CCOCC1	COCCN(C)c1ccccccccccccccccccccccccccccccccccccccccccccc
C/C=C\N=C/C/C=C/N=C/N/C(=C/C(=C)N1CCN(CC1)CC(=O)N1CCOCC1)/N	O=C(CN1CCN(CC1)c1ccnc(Nc2ncc(s2)c2cccnc2)c1)N1CCOCC1	NC(=O)c1ccc(Nc2nc(cn2ccCcccccccccccccccccccccccccccccccccccc
c1cc(ccc1O)O/C(=C(/C=C/CCC)\I)/CI	N[C@H](CO)Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1	OC(=O)Cc1c(I)c(Oc2ccc(O)c(I)c2)c(I)c1
CNCCNC/C=C(/Nc1nccc(n1)/C(=C/C1=CCCNC1)/NC)\C(=C/C)\OC(F)(F)F	CN1CCN(CC1)c1ccc(OC(F)(F)F)c(Nc2nccc(n2)c2cc3c(CCNC3=O)n2C)c1	CC(NC(=O)c1ccccc1Ccccccccccccccccccccccccccccccccc)c)c)c)c))c1cC
C=N/C=C\Cc1nc2cc(ccc2o1)NC(=O)[C@@H](OC1=CC=C/C(=C/C=C)/C1)C	C[C@H](Oc1cccc2ccccc12)C(=O)Nc1ccc2oc(nc2c1)c1ccncc1	OC(=O)[C@H](Cc1cccccccccccccccccccccccccccccccccccccccccccccc
C(=C\C)\CCO/C=C/C=C/NC(=O)CCC	NCCCC(=O)Nc1ccc(OCc2ccccc2)cc1	OC(=O)Cc1cccccccccccccccccccccc
c1c(cccc1)C(c1ccccc1)(c1ccccc1)CCCC	Cc1cccc(c1)C(CC[C@H](N)C(=O)O)(c1ccccc1)c1ccccc1	CCCCCCCcccccccccccccccccccccccccccccccccccccccccc
CCC/C=C\C[C@H]1CC[C@@]([C@H](C)O)(C)CC1	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
c1cc(ccc1CCCc1cc(ccc1)OCCCN(CCO)CC)C#N	COc1cc2-c3c(Cc2cc1OCCCN1CCOCC1)c(n[nH]3)c1ccc(cc1)C#N	OC1(Cc2ccc(cc2)C(=O)NCCCCCCCCCCCCCCCCcCcccccccccccccc
c1(ccccc1)COCNCC(N(S(=O)(=O)c1ccc(cc1)OC)C)C(=O)NO	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1C(=O)NO)C(=O)OCc1ccccc1	COC(=O)c1cccc(c1)c1ccccCcc()c()c()c()c()c()cccccccccccccccO)OO))
N/N=C\c1c(c(Br)cnc1)NCC(O)CN	NCC1CN(CCO1)c1c(Br)cnc2[nH]ncc12	NC1=NC(CC12)c1c(CccO)(n(n1)cccccc11
S(=O)(=O)(C)NC1CN([C@H](C1)C(=O)NO)S(=O)c1ccc(cc1)O	CCCCOc1ccc(cc1)S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(=O)(=O)C	COC(=O)C[C@@H](NC(=cc((cc(c)cOCc)())c()c)()c)c)c)c)c)c)O))O))O))O)
C(C)(CN)CCNCc1ccc2c(c1)cc(/C(=N/N/C=C/C)/C=C)[nH]2	NCC1CCN(Cc2ccc3[nH]c(cc3c2)c2n[nH]c3cc(ccc23)C#N)CC1	CC(C)Cc1cccCcCccccccccccccccccccccccccccccccccccccccccccc
N(=N\NCc1cc(=O)c(=C)/c(=C\C)/o1)\N	Clc1c(oc2ccccc2c1=O)c1nnn[nH]1	Cc1c(Cc2cnc(N)nc2N)cc(OC)c1OC
c1c(NC(=O)[C@@](O)(CBr)C)cc(c(c1)N=O)C(F)F	C[C@](O)(CBr)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-]	OC(=O)Cc1c(F)[nH]c2c=[nH]c1=O)(c1ccc(F)cc1)NC(=O)N[C@@H](C)C
C(=C\C=C/C)\CCNC(=O)/C=C/C=C/S(=O)(=O)N	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1cccccccccc
C1CN(C(=O)C)CCN1c1ccc(cc1)CN(CC(C)C)S(=O)(=O)CC(=C)C	CC(C)CN(Cc1ccc(cc1)N1CCN(CC1)C(=O)C)S(=O)(=O)Cc1ccccc1	CC(C)CCCCCCCCCCCCCCCCCCCCCCcCcCcCCcCcCcCcCcccccccccccccccccccccccccc
C1(CC(=O)C(=CC1)Sc1ccccc1)/C=C/C=C\C=C	OC1=C(Sc2ccccc2Cl)C(=O)CC(C1)c1c(Cl)cccc1Cl	OC(=O)Cc1ccccccccccccccccccccccccccccccc
C(=C\C=C)\C=C\COCN1CCc2c1cccc2	OC(=O)[C@H]1Cc2ccccc2N1C(=O)OCc1ccccc1	O=C(Ncccccccccccccccccccccccccccccc
C=C/C(=C(/OC)\C=C\C/C(=C/N=C/N)/C(=N)N)/O	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
Cl/C=C/C=C/OC(=C)/C(=C\C(=C)CCl)/O	Oc1cc(CCl)ccc1Oc1ccc(Cl)cc1Cl	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
c1c(ccc(Cl)c1)C(=C)Nc1cccc(CN(C)C)c1	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	CN(C)C(=O)c1cccccccccccccccccccccccccccccccc
c1c(cccc1)C(=C)/N=N\NCC(=O)NC(O)[C@@H]([C@@H](O)[C@@H](C)O)O	OC[C@H]1O[C@@H](NC(=O)Cn2cc(nn2)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccccc2cccccccccccccccccccccccccccO)
c1c(NC(=O)[C@@H](N)CO)ccc(O/C(=C/C=C)/C=C/C=C/N)c1	N[C@@H](CO)C(=O)Nc1ccc(Oc2ccc3[nH]c(N)c(C#N)c3c2)cc1	N[C@@H](CO)C(=O)c1ccc2c(c1)n(cc(C)c1)c1ccccccccc))
c1(nc2c(s1)c(F)cc(F)c2F)CNC(=O)C/C(=C\C(=C)F)/OCC=O	OC(=O)COc1cc(F)ccc1C(=O)NCc1nc2c(F)c(F)cc(F)c2s1	OC(=O)COc1c(F)cccc1C(=O)c1ccc(ccccccccccccccccccc
NCC/C(=C/C=C\C=C)/C(=C)/C=C\CCNCCNCCOCC	NCc1ccc2ccccc2c1c1ccc(cc1)C(=O)NCCN1CCOCC1	O=C(NCCCCC1CCN(CC1)c1ccccccccccccccccccccccccccc
C(=C\C=C\OC)(/S)\C(=C)/N=C/CNC(=N)/N=N\C=C\C(=C/OC)\C(=C/C=C)\OC	COc1cccc(OC)c1c1cnnc(NCc2nc3cc(OCC(=O)O)ccc3s2)n1	COc1cc(Nc2ncc3cc(c4c(C)nc(N)nc3n2)cc(OC)c(OC)c(OC)c1OC
CCCC(/C=C/C)/C=C(\CCC)/NCC=C	C/C=C/1\[C@@H]2Cc3[nH]c(=O)ccc3[C@@]1(N)CC(=C2)C	CCCCCCCCc1ccccccccccccccccccccC)
S(=O)(=O)(/C(=C/C)/C=C\C)N(CCNS(=O)c1ccc(c(c1)O)OC)CC	Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1	COC(=O)c1cccc(c1)c1cccc(NC(C(C)(c2(C)C)c(NS(=O)(=O)O)c2)cc1
N/C(=C\C=C(/C)\c1ncnc(N2C[C@@H]([C@@H](N)C2)c2c(F)cccc2)c1)/O	COc1ccc(cn1)c1cc(ncn1)N1C[C@H](N)[C@H](C1)c1cc(F)c(F)cc1F	Nc1ncnc2n(cnc12)c1c(F)c(Oc2cc(F)(F)cc2)[nH]c2c(cnn12)c1ccccc1)C(=O)O
C(=CCC/C=C/CNCCNC1CCC2CC1CCC2)(C)C	CC(=CCC/C(=C/CNCCNC1C2CC3CC(C2)CC1C3)/C)C	CC(C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCccccccccccc
C(=O)C/C(=C\C)/c1c(Cl)ccc(Cl)c1	OC(=O)Cc1c([nH]c2c(Cl)ccc(Cl)c12)C(=O)O	OC(=O)c1ccc(cccccccccccccccc)c)
NCCNc1c(c2nc3ccccc3s2)c(=O)[nH]c(n1)N1CCOCC1	O=c1[nH]c(nc(NC2CCCNC2)c1c1nc2ccccc2s1)N1CCOCC1	O=C(Nc1ccccccccccccCcccccCCCCCCCCCCCcCccccccccccccccc
O1Cc2c(cc(c(c2CC(=O)/C=C\C=C/COCCC1)Cl)O)O	C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C/C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1	OC(=O)c1cc(cc(Cl)c1OC)C1(CC(=O)OC(C)CC)C(=O)OC1(C)C
C1(C(=O)N)CCN(CC1)Cc1nc2c(CNCN2C)n1CCC(C)C	CC(C)CCn1c(CN2CCC(CC2)C(=O)N)nc2n(C)c(=O)n(C)c(=O)c12	CC(C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcCc)CCcCc
CCN(CC)CCNS(=O)c1ccc(OC)c(/C(=N/N(C(=N)CCC)/C=C/C)/NC=O)c1	CCCc1nc(C)c2n1nc([nH]c2=O)c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1	CC(C)(C)c1ccCC(c(Ccc(cccccccccccccCCcccccccccc)cCCcCcc)cCcc)c)cCc
N1(C(=O)CC=C)CCSC1c1cc(C)ccc1	Cc1cccc(c1)C12SCCN1C(=O)c1ccccc21	Cc1cccc(c1)C(c1ccccccccccccccccccccccc
c1c(c(ccc1)NC(=O)CN(C(C)C)CC1C[C@@H](CNC1)C(=O)NCC)Cl	CC(C)CCNC(=O)[C@@H]1CNC[C@H](CN2CC(=O)N(CC2(C)C)c2ccccc2Cl)C1	CC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCccccccccccccccccccc
C1CCNC[C@H]1NC(=O)c1sc(cc1)C/C=C(\C=C)/F	NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)c1cccc(F)c1	N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O
CS/C(=C(\C)/CNC(=C)/C(=C\CC(=C)/C=C(/OC(F)(F)F)\C)/F)/C(=O)O	OC(=O)c1sccc1C(=O)Nc1c(F)cc(cc1F)c1cccc(OC(F)(F)F)c1	OC(=O)c1cccccccccccccccccccccccccccccccccccccccccccF)c)c
c1(noc(C(C)C)c1CO/C(=C/C)/C=C/1\CC=C(S1)c1ccccc1)c1ccccc1	CC(C)c1onc(c1COc1ccc2cc(sc2c1)c1cccc(c1)C(=O)O)c1c(Cl)cccc1Cl	CC(C)c1cc(c(C)c1OC)C(=O)c1cc(cc(c1)c1cccccccccccccccccccccc))
C1(=NNC(=C)/C=C\C=C\C)C(=N)N=NC1=N	OC(=O)c1cccc(NN=C2C(=N)N=NC2=N)c1	Nc1nc2nc(cnc2c(=O)[nH]1)C(=O)NCc1ccccc1
O=C(C1CC1)N1CC[C@H](C1)Cc1n[nH]c(=O)n1/C=C/C=C/C/C=C/C=C\OC	O=C(C1CC1)N1CC[C@@H](Cc2n[nH]c(=O)n2c2ccc(cc2)c2ccc3occc3c2)C1	COCCCc1c(C2CCN(CCC[C@H](C)C2)[C@@H](CC(=O)O)C(=O)c2cc=O)cc1cn1ccnc1
C(=O)(C(=C)/C=N\C(=C)NCC1(CCCCC1)CCNC(=O)C/C=C\C)N	Cc1cccc(c1)C(=O)NCCC1(CNc2ccc(cn2)C(=O)N)CCCCC1	Nc1nc2[nH]c(CCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1
C(=C\C)\CCO/C(=C/C)/C=C\CNC(=O)CN	NCC(=O)Nc1ccc(OCc2ccccc2)cc1	NC(=O)c1cccccccccccccccccccccccccc
C(CC)N(S(=O)/C(=C/C=C(\C)/NCNCc1cnccc1)/C)C	O=S(=O)(N1CCCCC1)c1ccc(NC(=S)NCc2cccnc2)cc1	CC(C)(C)c1cccccccccccccccccccccc)cC)c()ccc)c)cCcc
C(=C(\C=C/CC)/C(=C/C(=C\CC(C#C/C=C/N=C)C)/OC)/C)\C	COc1cc(cc(c1)c1ccc(C)cc1)C(C)C#Cc1c(C)nc(N)nc1N	CCc1nc(N)nc(N)c1C#CCc1cc(OC)cc(c1)c1ccccc1
OC(CO)CCn1c(=O)[nH]c(=O)c(C#CCCC)c1	CCCC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(=O)[nH]c1=O	CCCCCCCCCC(C(C(C(C)CC@C(C(C(C(CCCCCCCC(C(COC()O)O)O)O)O
C(=C\Cc1ccccc1C)(/O)\C(=C)OC/C(=C\C(=C)Cl)/Cl	Cc1ccccc1c1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1	Oc1cc(O)c2c(CC(=O)c3ccccc3OCCCOC)c2c(=O)c(O)cc12
N=C/C(=C\C=C/C=N/C=C/C(=C/C)/C)/C	NC(=O)c1cccc2ncc(nc12)c1ccc(Cl)cc1	Cc1ccccccccccccccccccccccccccccc
c1ccccc1C(c1ccccc1)CN/C(=N/C=N)/C(=C/C=C)/C	C[C@H](Nc1ncnc2cc(F)c(F)cc12)C(c1ccccc1)c1ccccc1	Cc1cccccccccccccccccccccccccccccccccccccccccc
C(=C\C(=C/C)\COC/C=C\C/C=C\C=C\S(=O)N[C@H](CCC(=O)O)C=O)\CC	OC(=O)CC[C@@H](NS(=O)(=O)c1ccc2cc(OCc3ccc(cc3)C#N)ccc2c1)C(=O)O	OC(=O)C[C@@H](NC(=O)c1cc(ccccccccccccccccccccccccccccc)OO)O)O)O
C/C=C(/C(=C/C=C/C1=NCCC(=C1C#N)O)/C=C)\C(=C/C)\OCC	CCOc1ccccc1c1ccc(cc1)c1nc2ccncc2c(O)c1C#N	COc1cc(ccc1OC1Cc2ccc(cc2CN1)C(=O)c1ccccccccccccccc
n1(cncc1)CCCOc1c(Nc2cc(N(CCC)C=N)nc(n2)C)cccc1	N#Cc1nc(Nc2ccccc2OCCCn2ccnc2)c2ncn(C3CCCC3)c2n1	CN1CCN(CC1)c1cccccccccccccccccccccccccccccccccccccccCC
C(COC)NC/C=C/C(=N\CNCCNC(=O)C=C)/N/C(=N/c1cccnc1)/S	C=CC(=O)N1CC[C@@H](C1)Nc1nc(CN2CCOCC2)cc(Nc2nc3cccnc3s2)n1	CC(C)(CCcccccccccccccccccccccccccccccccccccccccccccccc)c)c)cC
c1cc2c(nc(nc2N)N)cc1n1c2c(cc(cc2)OC)nc1c1nccs1	COc1cc2nc(c3nccs3)n(c3ccc4c(N)nc(N)nc4c3)c2cc1OC	COc1cc(Nc2nccc(nn2c(cn2ccc(cccccccccccccccccccccccccc
CCCc1nc(c(n1/N=C(\N)/c1c(O)ccc(c1)S(=O)(=O)N(CCN)CC)C=O)C	CCCc1nc(C)c2n1nc([nH]c2=O)c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1	CC(C)CCCcC(cccccccccccccccccccccccccccccccccccccccccccccccc)c))c)c)
C(COC)N1CC(=CC1=O)/C(=C(\C(=N)C)/C)/c1c(Cl)cccc1	COCCN1Cc2c(nc(C)c(CN)c2c2ccc(Cl)cc2Cl)C1=O	CC(C)c1cc(Cc(C)cccccccccccccccccccccccccccccccC
c1c(Nc2ccnc3cc(ccc23)Cl)ccc(c1C)O	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	Cc1cccc2C(=O)c3c(ccc(c3c1cc1OC)C)ccc(C=O)c1OC
C(=C\C)\C=C\c1c2c3n(c4c(c3cc1C(=O)N)cccc4)CCCC(O)N2	O=C1NC(=O)c2c1c1c3ccccc3n3C4CCC(O4)n4c5ccccc5c2c4c13	NC(=O)c1cccc(cccccccccccccccccccccccccccccccccccccccccccccccc
O=CCNc1c(ccc(c1)Cl)CC(C(=O)NCc1ccccc1)NC(C(=O)NO)CCC	CC(C)CC(NC(C(=O)NCc1ccccc1)c1c([nH]c2cc(Cl)ccc12)C(=O)NO)C(=O)NO	CC(C)CCN(C(=O)C(C(=O)NCCC(=O)c1cccccCcccCccccccccccccccccccccc)))c))
O=C(Nc1cc(n[nH]1)C1CC1)Cc1ccc(C(=C)S)cc1	O=C(Cc1ccc(cc1)c1cccs1)Nc1cc(n[nH]1)C1CC1	NC(=O)c1cccc(c1ccccccccccccccccccccccccccccccc
C(=C\Br)/SC(=C)C(=C)/C=C/C(=C\C(N)C)/C	CC1=CC(C)(C)Nc2ccc(cc12)c1cc(Br)cs1	NS(=O)(=O)c1ccc(cc1)c1cccccccccccccccc
c1ccc(cc1)C[C@@H](N)CC(=O)N(C)C/C=C/C=C\C=C\C	N[C@@H](CC(=O)N1Cc2ccccc2C[C@H]1C(=O)N)Cc1ccccc1F	C[C@H](NC(=O)CCcc1ccccccccccccccccccccccccccccccccc
C(=N\CC1CN(C1)[C@@H](/C(=N/CN(N=C)CCCCC)/NC=O)C)\C=C	C[C@@H](N1CC(C1)c1ncccn1)c1nc2n(ncc2c(=O)[nH]1)C1CCCC1	C[C@@H]1CCCN(CC1)C(=O)Nc1cnc2c(cncc2cC1c1CCcCCCCCCCCC)C1c11c1ccnc
CC/C=C/C=C(/[C@H](C)CCNC(OCCO)[C@@H](C)O)\C	CCc1ccc(cc1)[C@H](C)CC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	OC[C@H]1O[C@@H](NC(=O)CCc2ccc3[nH]c(=O)[C@@H](O)[C@H]3O)cc12
NN(c1ccccc1)/C(=C\C)/N(CCNC(CCC(=O)N(C)C)CN)C	Cc1cc(N2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2CCSC2)n(n1)c1ccccc1	CN1CCN(CC1)C(=O)Nc1ccc(Cc(NC(cccccccccccccccccccccccccccccc
C(=O)(C(=C)/C=C(\C)/NC(=O)/C=C/C)N	NC(=O)c1cccc(NC(=O)/C=C/C(=O)O)c1	NC(=O)c1cccc(NC(=O)c2cc12
[C@H]12CCCN(C2C[C@H]2N(C1)CCc1c2cccc1)S(=O)C	COc1ccc2[C@H]3C[C@H]4[C@@H](CCCN4S(=O)(=O)C)CN3CCc2c1	CS(=O)(=O)c1cccc(CCCC[C@@H]2CN[C@@H](CCC2)SC(=O)NC2(C)C)cc1
C(CCOC)Nc1cc(ccc1OC(C)(C=O)C)/C(=C\N)/C(=N\CN)/C	CCc1nc(N)nc(N)c1c1ccc2OC(C)(C)C(=O)N(CCCOC)c2c1	CCCCn1c(Cc2ccc(Oc3cc(OC)cc(OC)c3)ccn2n1
O=S(c1ccc2c(CN[C@@H](CF)C2)c1)N(CC)CC	FC[C@H]1Cc2ccc(cc2CN1)S(=O)(=O)N1CCSCC1	FC[C@H]1Cc2ccc(cc2CN1)S(=O)(=O)NCCC(F)(F)F
CC1(C(=C)/C(=C\C=C\CC/C=C/C(=C/C(=O)O)/C)/C(C)(C)CC1)C	C/C(=C\C(=O)O)/C=C/[C@@H]1CCC[C@@H]1c1ccc2c(c1)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/C1(CC1CC1)(C)c1ccc2c(c1)C(C)(C)CCCc(C)cccCC
C(C)C/C(=C/C=C/[C@@H](C(=O)O)C)/C	CC(C)Cc1ccc(cc1)[C@H](C)C(=O)O	CC(C)C[C@H](C)C(=O)c1cc(I)c(I)c(I)c1
CN(C)C(=O)/C(=C(\OC/C=C\C=C)/N(C)/C(=C/C=C\C)/C)/C=C/C=C	O=C(N1CCNCC1)c1c(Oc2ccccc2)n(c2ccccc2)c2ccccc12	CN(C)C/C=C/C(=O)Nc1ccc2c(c1)c(c(cccccccccccccccccccc
C(=C\1/C(=C(CNC1=C)CCC)S(=O)C(CC)CCC)\C	CCCc1c(S(=O)C2CCCCC2)c2cc(Cl)ccc2[nH]c1=O	CCCCCCc1cccCcCCCCCCCCCCCCcCcCCccccccccccc
n1cc(S(=O)(=O)N2CCN([C@@H](C#CC)C2)C/C=C\C[S@](=N)(=O)C(F)(F)F)ccc1N	CC#C[C@H]1CN(CCN1c1ccc(cc1)[S@](=N)(=O)C(F)(F)F)S(=O)(=O)c1ccc(N)nc1	CC(C)C[C@CCCCCCCCCCCCCCCCCCcccCCCCc(CCCCcCCc()c)c()c)c)c)c)c)c)c)c)c)c
C(=N)NC([C@H]([C@@H](OCCO)C[C@@H](C)O)NC(=O)C)C	CO[C@H]([C@H](O)CO)[C@@H]1OC(=C[C@H](NC(=N)N)[C@H]1NC(=O)C)C(=O)O	CC(C)C[C@H](NC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C1(=NNC/C(=C/C)/C1)CCNc1cc2c(C)c(oc2cc1)CCC	Cn1nc(CC(=O)Nc2ccc3oc4CCCCc4c3c2)c2ccccc2c1=O	CC(C)c(cccccccccccccccccccccccccccccccccccccccccccccccc
N/C=C(\CN)/C/C=C/S/C(=C/C)/CCO	Cc1c(Cc2cnc(C)nc2N)csc1CCO	NC(=O)c1ccccccccccccccccccccccc
CC/C(=C(\C)/CNc1ccc(c2cc(ccc2)OC(F)(F)F)cc1)/C(=O)O	OC(=O)C1=C(CCC1)C(=O)Nc1ccc(cc1F)c1cccc(OC(F)(F)F)c1	OC(=O)c1cccccccccccccccccccccccccccccccccccccccccccF)c)c)
N#CC(=N)/N=C(/NCC(=C)OCCCN1CCN(C)CC1)\c1cn(cn1)C1CCCC1	CN1CCN(CCCOc2ccccc2Nc2nc(nc3n(cnc23)C2CCCC2)C#N)CC1	Nc1nc2nc(cnc2c(=O)[nH]1)C(=O)NCCN1CCOCC1)c1ccc(Cl)cc1
C1N(CC[C@@H]1S)S(=O)(=O)C/C=C\COCC#CC	CC#CCOc1ccc(cc1)S(=O)(=O)N1CC[C@H](S)C1	CCCCOc1ccc(cc1cCC()cCCCCCCCCCCCCCCCCCC)CC)C1C
c1c(C)ccc(c1)OCCN(C(=N)SCCOc1ccccc1)/C(=C/C)/C	Cc1ccc(OCCn2c(SCCOc3ccccc3)nc3ccccc23)cc1	Cc1ccc(cccccccccccccccccccccccccccccccccccccccccccc
C(=N\O)(/c1cc(ccc1)CNC(=O)N/C=C/C=C(/Br)\C=C)\C	C/C(=N\O)/c1cccc(c1)C(C)(C)NC(=O)Nc1ccc(Br)cc1	OC(=O)C(=O)N(Cc1c(Br)c(Br)c(Br)c(Br)c1)c1cccc(NC(=O)c2ccccn2)c1
N(C(CCCC)C=O)C(=O)CNCOCc1ccc(Br)cc1	CCCCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccc(Br)cc1)C=O	CCCCCCCCCCCCCCCCCCCCCCCCCcCc(C(cccccCc)CCc)CCc)C
C1(/C=N/NCNC(=O)CC/C=C\COC(F)F)CC1	FC(F)(F)Oc1ccc(CC(=O)Nc2cc(n[nH]2)C2CC2)cc1	FC(F)(F)c1ccc(cc1)C(C)CC(C)C)CcC)ccccccccc
C(=c\1/cccc(c1=C)N(C)C)(\C)/S(=O)(=O)NCCCCCCCCCCC=O	CN(C)c1cccc2c(cccc12)S(=O)(=O)NCCCCCCCCCCC(=O)O	Nc1nc2[nH]c(CCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1
CCN(CC)C(=O)/C(=C\NCCSC=C)/C1=CCCCC1	CCN(CC)C(=O)c1c(NC(=O)c2cccs2)sc2CCCCc12	CCCNC(=O)(CCc1nc2ccccc2c2c1ccccc1)Cc1ccccc1
O=N(O)C(=C)/C=C\C=C\N(N)/C(=C/C(=O)OC)/C	CCOC(=O)c1c(C)nn(c1C)c1cccc(c1)[N+](=O)[O-]	COC(=O)c1ccccc1c1ccccccccc)c))c()cc))
c1ccc(cc1)CNCCCCC(C)CC(=C)/C=C(/OC)\COC	COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	COc1cc2CC(CC(C3)(C2)OC(=O)c2cc1OC)C1CC1
O=CCCCCNCCN(C)/C=N\CN(C)C=O	CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O	Cn1c(=O)n(CCCC(=O)N[C@@H](CC(=O)O)C(=O)O)cc1OC
c1(n(c2ncncc2n1)C1CC[C@H](O1)CN(C)CCON)C	CN(CCON)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12	CN(CCCN1CC[C@H]1[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
C=N/C(=C\n1cncc1c1c(=C)c(=C)[nH]c1)/c1cn[nH]c1	c1n[nH]cc1c1cn2c(cnc2cn1)c1c[nH]c2ccccc12	c1n[nH]cc1c1cn2c(cnc2cn1)c1cccc(c1)C(F)(F)F
C1COCCN1Cc1ccc(N)c(c1)NC(=N)c1cc(cnc1)OCCCC	CCCCOc1cncc(c1)c1nnc2c(C)nc3ccc(CN4CCOCC4)cc3n12	NC(=O)c1ccc2nc([nH]c2c1)c1ccc(OCCCN2CCCCC2)ccc1N1CCOCC1
C1(=CN(C(=O)NC1)CO)C/C(=C/C=C\C)/C	OCCOCn1cc(Cc2ccccc2)c(=O)[nH]c1=O	OC(=O)Cc1cccccccccccccccccccccccc
C/C=C\C=C(/CCl)\C=C\C=C\CNN	NNC(=O)c1ccc(o1)c1ccccc1Cl	NC1=Nc2ccccc2c2c1c(Cl)cccc1Cl
CC(C)/C=C/C(=C\C(=C)C(C)(C)C)/C1(CC1)C/C=C/C=C/CO	C/C(=C\C(=O)O)/C=C/CC1(CC1)c1cc(cc(c1)C(C)(C)C)C(C)(C)C	C/C(=C\C(=O)O)/C=C/C1(CC1CC1)(C)c1ccc(cc1)C(C)Cc1cccccC1
C(=C\n1ncc(c1)C(=O)Nc1n(c2ccc(cc2)C2CC2)nc(c1)C(CCN)CC)\C=N	CC(C)N1CCC(CC1)c1cc(NC(=O)c2cnn3cccnc23)n(n1)c1ccc(cc1F)C1CC1	NC(=N)c1ccc(CNC(=O)c2cnc(Nc3cnc(cn3)N3CCNCC3)nc2n1)c1ccc(Cl)cc1
